Глубина манометра,Dшт,Руст,Рзаб,Рлин,Руст_1,Рзаб_1,Рлин_1,Туст,Тна шлейфе,Тзаб,Tлин,Дебит газа,Дебит ст. конд.,Дебит воды,Дебит смеси,Дебит газа_1,Дебит кон нестабильный,Дебит воды_1,Нэф,Рпл. Тек (послед точка на КВД),Рпл. Тек (Расчет по КВД),Рпл. Тек (Карноухов),Pсб,Pсб_1,Ro_g,Ro_c,Ro_w,Удельная плотность газа ,G_total,КГФ
3576.3,7.94,249.60000000000002,370.1,101.8,249.0,359.6,101.8,53.0,31.7,103.2,32.5,214.704,83.6,0.4,231.24884,1610.368866,131.3,0.4,56.8,45.25,56.5,,93.6,92.3760177646188,0.8060166657971012,801.0,1000.0,0.6694490579710143,2.782622710802093,311.9094
3576.3,9.53,233.5,364.6,101.3,231.0,338.1,102.4,58.8,37.6,103.0,38.6,290.594,104.7,1.4,309.00166,2310.226429,158.5,1.4,56.8,45.25,56.5,,92.9,91.68517147791759,0.8060166657971012,801.0,1000.0,0.6694490579710143,3.6977813307944776,288.6003
3576.3,11.11,213.4,357.1,101.6,211.0,314.8,100.6,63.6,42.8,102.6,43.4,368.042,114.3,1.9,388.11498000000006,3039.48968,172.3,1.9,56.8,45.25,56.5,,91.4,90.20478657784358,0.8060166657971012,801.0,1000.0,0.6694490579710143,4.515072751311305,248.7906
3576.3,12.7,191.6,347.4,98.4,187.0,291.5,99.0,64.7,46.2,102.0,46.1,434.663,121.3,3.3,455.21451999999994,3824.082686,181.5,3.3,56.8,45.25,56.5,,89.2,88.03355539106835,0.8060166657971012,801.0,1000.0,0.6694490579710143,5.217672708395432,223.5591
3576.3,14.29,171.9,337.69999999999993,99.2,169.0,270.3,99.5,64.0,49.4,104.4,49.9,483.283,129.8,4.6,504.58777999999995,4299.104676,190.6,4.7,56.8,45.25,56.5,,89.7,88.52701702442636,0.8060166657971012,801.0,1000.0,0.6694490579710143,5.765092040467829,215.1486
3576.3,9.53,199.5,286.4,106.36166898470155,199.5,286.6,106.19,57.5,38.8,102.64,38.979712100139054,251.7,76.8,0.6,268.89611999999994,1921.0,119.0,0.6,56.8,41.22431,48.3,,90.7,89.51394029114236,0.8127,789.8,1000.0,0.675,3.0765420138888886,241.130793707915
3667.0,7.94,252.0,354.333525,102.93200404858312,252.0,354.2,101.56548387096784,56.0,,105.3,32.99727530364374,234.85742914979755,56.068587044534425,0.0,261.28126025947637,1807.4,90.4,0.0,57.2,38.74,50.8596,50.1,100.9,99.5805576116457,,787.0,,0.659,,188.0
3667.0,9.53,250.0,350.20000000000005,103.18690228690187,250.0,349.1,103.32258064516141,61.0,,105.2,39.06092099792096,326.22444906444906,73.88715800415793,0.0,362.08473698070804,2532.4,118.0,0.0,57.2,38.74,50.8596,50.1,100.1,98.79101899827288,,787.0,,0.659,,178.0
3667.0,11.11,240.0,344.0,105.67149877149868,240.0,344.1,105.58870967741944,65.0,,105.2,44.89659213759216,429.7228501228501,92.12672481572478,1.014582702702704,476.2047969192303,3392.3,146.0,1.0,57.2,38.74,50.8596,50.1,102.0,100.66617320503332,,787.0,,0.659,,169.0
3667.0,12.7,228.0,336.70000000000005,108.10006302521013,228.0,343.0,108.1448387096775,42.0,,105.1,49.839871848739456,532.283025210084,109.8121764705883,1.3784178571428567,589.1426530810221,4228.8,175.5,1.4,57.2,38.74,50.8596,50.1,103.8,102.44263508512213,,787.0,,0.659,,162.0
3579.0,7.94,259.60869565217394,365.86,103.4714148857772,259.0,365.9,101.42032258064515,52.0,27.2,105.9,28.092309506263728,243.63669859985262,70.73221444362562,1.1444375092114956,257.6357482757553,1713.8,117.3,1.2,62.5724,41.231,,,93.2,91.9812484579324,,793.7,,0.661,,230.0
3579.0,9.53,239.42307692307693,342.27,103.20046587926512,239.0,342.3,104.17999999999986,58.0,34.6,105.7,35.09973359580054,313.8510498687664,79.58073622047256,1.657555314960633,327.8430008516404,2353.5,129.7,1.7,62.5724,41.231,,,92.0,90.79694053787318,,793.7,,0.661,,201.0
3579.0,11.11,213.42857142857142,312.27,103.18711137581893,212.0,312.3,102.99999999999994,61.0,41.2,105.2,41.11381596188213,395.0005955926147,85.5020559857057,2.591600059559267,410.0173482237641,3085.5,139.7,2.7,62.5724,41.231,,,93.7,92.4747100912904,,793.7,,0.661,,172.0
3579.0,12.7,194.24242424242425,291.74,103.22992846193262,194.0,291.7,103.91741935483866,62.0,43.7,104.5,44.143173224322894,435.0373019928462,86.21457690342353,3.1601476750127757,449.6452114679612,3534.4,137.7,3.2,62.5724,41.231,,,89.6,88.42832469775475,,793.7,,0.661,,157.0
3579.0,14.29,166.0,263.03,107.3775597092424,166.0,263.0,107.53666666666662,63.0,49.2,103.4,49.75384527518173,494.5908618899273,88.07178712357216,3.5106176531671887,509.04695277455863,4071.6,142.2,3.6,62.5724,41.231,,,90.3,89.11917098445596,,793.7,,0.661,,141.0
3582.5,9.53,206.0,292.0,105.507978385251,206.0,292.0,105.03,56.0,37.4,104.6,37.79177942212822,273.4,59.9,0.8,285.53654000000006,2085.0,94.0,0.7,62.6,,49.7,,92.1,90.89563286454478,,783.0,,0.672,,172.0
3653.0,7.94,323.1,440.5,108.88643532338311,314.0,442.7,99.16735483870968,37.0,14.0,105.42,16.204686069651743,310.7806417910448,150.07470398009968,1.2034843532338302,337.72025463982595,1784.0,492.8,2.5,63.6,53.27,56.7,56.8,99.4,98.10017271157169,0.787416,798.0,1000.0,0.654,4.232369768123735,385.415949386802
3653.0,9.53,272.6923076923077,388.7,89.65283935242846,268.0,388.6,86.74719354838712,48.0,21.0,105.32,22.031063511830656,375.366899128269,138.9773723536737,0.8592120921544208,398.3963089393649,3127.0,238.3,1.0,63.6,53.27,56.7,56.8,99.7,98.39624969158649,0.787416,798.0,1000.0,0.654,4.714502980027443,295.5028799822254
3653.0,12.7,202.15384615384613,308.8,97.87704524886881,197.0,308.7,92.45790322580648,54.0,35.0,105.22,35.40620060331823,473.779185520362,151.7921266968327,0.6965744796380082,496.80674771475117,3895.7,245.0,0.8,63.6,53.27,56.7,56.8,99.2,97.90278805822848,0.787416,798.0,1000.0,0.654,5.727870401960785,255.68112741124983
3653.0,14.29,165.8461538461538,270.5,79.95274967741933,162.0,270.4,81.14677419354842,52.0,34.0,105.12,33.82577935483872,488.0902193548387,143.14583225806487,0.4267214193548387,509.7342959136775,5129.0,221.2,0.4,63.6,53.27,56.7,56.8,98.9,97.60671107821368,0.787416,798.0,1000.0,0.654,5.775314163481485,233.96044419658497
3653.0,15.88,138.86666666666667,239.3,80.73293237250546,136.0,239.3,79.54112903225814,51.0,38.0,105.02,37.26220177383591,492.5143015521065,137.67566518847002,0.4085362305986699,513.3312706648337,5235.6,209.7,0.4,63.6,53.27,56.7,56.8,100.8,99.48186528497409,0.787416,798.0,1000.0,0.654,5.764899980578139,223.10946098417853
3653.0,14.29,149.88888888888889,251.3,73.30663802559425,151.0,285.3,72.57925806451617,50.0,,100.21,31.994166361974468,459.30621572212067,114.87843510054843,0.34101025594149914,476.67617611957945,5209.5,172.5,0.3,63.6,53.27,56.7,56.8,97.0,95.73155687145325,0.787416,798.0,1000.0,0.654,5.250915099829033,199.62761225517968
3653.0,11.11,191.41176470588235,296.8,76.5720676470589,192.0,296.8,76.81951612903225,50.0,,102.38,24.80197549019607,355.0154509803922,109.27444803921578,0.32912409803921555,371.5380766480197,3705.5,164.0,0.3,63.6,53.27,56.7,56.8,98.0,96.71848013816926,0.787416,798.0,1000.0,0.654,4.2485530090568275,245.6833574872083
3650.0,7.94,337.1081081081081,458.6,91.04554516129046,333.0,458.5,89.4336774193549,60.0,90.3,105.6,31.17772258064514,287.9502949308756,106.6626898617513,0.4876661705069131,306.24343390833644,2519.8,163.0,0.5,63.6,47.33,55.4,55.2,89.6,88.42832469775475,0.8213444748792268,795.0,1000.0,0.682179796411318,3.7244315786101585,294.587295099189
3650.0,9.53,325.8421052631579,452.8,97.78799548736481,325.0,452.7,98.17906451612895,66.0,95.5,105.49,40.51194043321302,402.789178700361,143.00573104693154,2.1840857400721982,429.87664824638995,3517.8,218.9,2.2,63.6,47.33,55.4,55.2,85.5,84.3819393042191,0.8213444748792268,795.0,1000.0,0.682179796411318,5.170165606354928,282.24440973094613
3650.0,12.7,299.55555555555554,437.30000000000007,103.10805220883537,299.0,437.2,105.97709677419346,74.0,103.6,105.47,51.37921987951809,654.5622991967872,230.9797590361446,4.556070682730927,692.7940053879518,5599.8,354.6,4.7,63.6,47.33,55.4,55.2,93.8,92.573402417962,0.8213444748792268,795.0,1000.0,0.682179796411318,8.400533646134148,280.5615294373049
3650.0,14.29,280.3333333333333,426.2,107.0626261467888,280.0,426.1,106.77129032258067,75.0,106.8,105.42,52.76279816513765,742.114254587156,272.7696100917432,6.246333830275232,787.2638713911697,6020.6,421.6,6.4,63.6,47.33,55.4,55.2,92.3,91.09301751788799,0.8213444748792268,795.0,1000.0,0.682179796411318,9.636916858651475,292.2406966150632
3650.0,15.87,256.2105263157895,414.0,109.78447484554317,255.0,413.9,109.39032258064499,75.0,110.2,105.36,55.513903795233944,846.8161429832304,302.6210767872898,8.340288261253283,896.9082714797881,6943.1,469.6,8.1,63.6,47.33,55.4,55.2,87.7,86.55317049099433,0.8213444748792268,795.0,1000.0,0.682179796411318,10.931155145659286,284.08411224113485
3650.0,14.29,271.4736842105263,414.80000000000007,108.6331631722871,271.0,414.7,108.63999999999977,74.0,,105.35,53.125238833181484,720.2693072014584,262.0141659070192,6.011751595259804,763.6386634106655,5914.3,401.1,6.1,63.6,47.33,55.4,55.2,96.3,95.04071058475203,0.8213444748792268,795.0,1000.0,0.682179796411318,9.327572099379012,289.18350400329433
3650.0,11.11,297.6774193548387,424.5,100.12634143706153,298.0,424.5,102.25428571428557,70.0,,105.37,44.88405024311182,497.1557806591032,179.76385197190743,3.2895430037817346,526.9099877034575,4204.5,274.0,3.3,63.6,47.33,55.4,55.2,88.2,87.04663212435234,0.8213444748792268,795.0,1000.0,0.682179796411318,6.41826341342675,287.5175146302226
3653.0,9.53,298.57142857142856,403.4,111.38188006482996,298.0,402.9,111.61290322580646,64.0,32.0,104.42,42.44033954619124,366.21893841166934,118.27696110210711,1.4693333063209097,388.1844394216369,2724.6,184.3,1.5,63.6,43.4,54.9,52.7,88.8,87.63878608438193,0.823536,788.9,1000.0,0.684,4.587644763698678,254.839032065248
3653.0,11.11,285.65,399.20000000000005,121.68292972057577,288.0,396.6,123.61679999999998,68.0,36.0,104.42,49.17873581710411,470.2880016934801,145.0345469940728,2.270067061812026,495.84535894089754,3324.9,229.5,2.3,63.6,43.4,54.9,52.7,87.4,86.25709351097953,0.823536,788.9,1000.0,0.684,5.833181955417568,243.234996427721
,14.29,221.8,,107.55553088133304,222.0,,106.77,69.0,,,52.22178972935467,601.5,167.1,1.0,629.44012,5020.0,254.0,1.0,63.6,,,,90.8,89.61263261781396,0.8243303332527975,788.4,1000.0,0.684659745226576,7.275189067726362,219.042278656448
3572.0,6.35,251.286,341.5,106.0,251.286,345.0,114.7,25.0,,104.9,26.5,148.196,40.0,0.0,,1768.6,98.2,0.0,30.0,38.59,51.3,51.7,94.8,93.56032568467802,,780.0,,0.662,,270.0
3572.0,9.53,237.10049999999998,330.0,105.9,237.10049999999998,328.7,103.8,31.0,,104.7,38.5,304.633,76.6,0.0,,2315.9,122.1,0.0,30.0,38.59,51.3,51.7,94.8,93.56032568467802,,780.0,,0.662,,251.0
3572.0,11.11,222.915,316.0,108.9,222.915,316.1,108.7,37.0,,104.6,45.0,389.857,91.8,1.1,,2998.1,143.5,1.2,30.0,38.59,51.3,51.7,103.6,102.24525043177893,,780.0,,0.662,,236.0
3572.0,12.7,222.915,301.6,101.7,222.915,329.7,108.4,37.0,,104.5,48.2,472.62,102.3,2.4,,4013.4,158.9,2.4,30.0,38.59,51.3,51.7,98.0,96.71848013816926,,780.0,,0.662,,217.0
3588.5,7.94,258.0,359.9,100.2,258.0,359.9,100.2,57.0,33.0,105.1,33.2,235.784,59.6,1.3,247.2285,1839.2,94.7,1.2,30.0,40.39,49.4,,97.6,96.32371083148284,,792.0,,0.683,,200.0
3588.5,9.53,250.3,346.9,98.9,248.0,346.9,98.8,62.0,38.5,104.88,39.0,326.312,74.0,2.6,340.13039999999995,2690.920702,119.1,2.7,30.0,40.39,49.4,,95.5,94.25117197137922,,792.0,,0.683,,180.0
3588.5,11.11,232.0,330.5,94.5,232.0,330.5,93.1,66.0,42.9,104.5,43.3,415.321,88.7,3.8,429.84499,3706.486907,138.7,3.9,30.0,40.39,49.4,,90.3,89.11917098445596,,792.0,,0.683,,169.0
3588.5,12.7,214.2,314.2,96.9,215.0,314.2,97.0,68.0,47.9,104.0,47.8,489.673,98.6,4.7,506.45941999999997,4437.442082,159.2,4.9,30.0,40.39,49.4,,92.0,90.79694053787318,,792.0,,0.683,,160.0
3588.5,14.29,193.0,297.5,98.2,193.0,297.5,98.3,68.0,51.0,103.4,51.2,554.811,109.1,5.7,571.8362999999999,5035.740014,170.4,5.8,30.0,40.39,49.4,,93.2,91.9812484579324,,792.0,,0.683,,156.0
3588.5,12.7,206.0,306.9,97.2,206.0,306.8,97.6,67.0,,103.76,48.2,490.355,94.7,4.5,505.1327,4386.745588,149.6,4.6,30.0,40.39,49.4,,92.5,91.2904021712312,,792.0,,0.683,,153.0
,9.53,215.0,,100.36964188706226,215.0,,100.26,58.0,,,37.535415296640444,285.0,55.4,0.5,296.32980000000003,2291.0,91.0,0.5,30.0,,,,92.9,91.68517147791759,,781.0,,0.665,,152.0
3478.5,9.53,260.0,347.0,93.85216319444433,260.0,345.7,94.36306451612884,57.0,34.3,106.51,35.29383749999997,347.8570138888889,67.78739999999999,5.488664374999995,360.52518887326386,3019.1,104.0,5.6,63.5193,39.4921,,,87.9,86.75055514433754,,779.8,,0.668,,152.0
