0,3579.0,14.29,166.0,263.03,107.38,63.0,49.2,103.4,49.75,494.59,88.07,62.57,51.15540983606558,90.3,0.66,nan,141.0
76,3276.0,7.5,268.0,370.04,95.0,56.0,28.6,104.98,30.4,246.61,69.9,44.5,48.3,94.3,0.67,nan,222.0
59,3650.0,14.29,280.33,426.2,107.06,75.0,106.8,105.42,52.76,742.11,272.77,63.6,55.4,92.3,0.6822,9.64,292.24
63,3277.8,6.35,288.78,382.5,101.9,26.5,nan,106.2,25.9,168.59,48.3,44.5,53.9,101.5,0.67,nan,224.0
92,3640.5,6.35,270.76,403.0,105.38,47.0,nan,104.0,22.45,182.45,49.43,63.3,50.8,102.4,0.68,nan,212.0
20,3588.5,12.7,206.0,306.9,97.2,67.0,nan,103.76,48.2,490.36,94.7,30.0,49.4,92.5,0.68,nan,153.0
100,3424.5,9.53,201.64,281.5,103.87,35.5,nan,106.4,36.56,244.58,67.58,44.2,50.2,103.6,0.65,nan,216.0
88,3588.5,9.53,250.3,346.9,98.9,62.0,38.5,104.88,39.0,326.31,74.0,30.0,49.4,95.5,0.68,nan,180.0
131,3576.3,14.29,171.9,337.7,99.2,64.0,49.4,104.4,49.9,483.28,129.8,56.8,56.5,89.7,0.6694,5.77,215.15
97,3572.0,6.35,251.29,341.5,106.0,25.0,nan,104.9,26.5,148.2,40.0,30.0,51.3,94.8,0.662,nan,270.0
123,3437.0,7.94,210.63,298.69,100.6,48.0,27.8,106.6,28.5,189.82,52.8,44.2,47.9,99.8,0.68,nan,218.0
69,3579.0,14.29,166.0,263.03,107.38,63.0,49.2,103.4,49.75,494.59,88.07,62.57,51.15540983606558,90.3,0.66,nan,141.0
42,3650.0,14.29,271.47,414.8,108.63,74.0,nan,105.35,53.13,720.27,262.01,63.6,55.4,96.3,0.6822,9.33,289.18
17,3667.0,11.11,240.0,344.0,105.67,65.0,nan,105.2,44.9,429.72,92.13,57.2,50.86,102.0,0.66,nan,169.0
83,3424.5,6.35,219.88,316.1,101.82,24.2,nan,106.2,23.66,128.37,39.74,44.2,50.2,101.8,0.65,nan,241.0
125,3653.0,11.11,191.41,296.8,76.57,50.0,nan,102.38,24.8,355.02,109.27,63.6,56.7,98.0,0.654,4.25,245.68
80,3437.0,14.29,138.16,216.9,101.4,57.0,49.3,106.43,49.7,360.23,71.1,44.2,47.9,100.7,0.68,nan,154.0
113,3288.6,11.11,217.2,293.9,93.1,60.0,nan,104.6,41.3,387.68,72.0,48.37,51.15540983606558,90.8,0.67,nan,145.0
57,3653.0,15.88,138.87,239.3,80.73,51.0,38.0,105.02,37.26,492.51,137.68,63.6,56.7,100.8,0.654,5.76,223.11
78,3653.0,14.29,149.89,251.3,73.31,50.0,nan,100.21,31.99,459.31,114.88,63.6,56.7,97.0,0.654,5.25,199.63
23,3650.0,11.11,297.68,424.5,100.13,70.0,nan,105.37,44.88,497.16,179.76,63.6,55.4,88.2,0.6822,6.42,287.52
35,3437.0,9.53,193.52,278.23,100.6,54.0,35.1,106.6,36.3,250.43,63.9,44.2,47.9,100.1,0.68,nan,200.0
5,3576.3,7.94,249.6,370.1,101.8,53.0,31.7,103.2,32.5,214.7,83.6,56.8,56.5,93.6,0.6694,2.78,311.91
0,3437.0,7.5,212.0,305.56,100.8,40.0,26.0,106.5,25.9,162.15,45.4,44.2,47.9,99.8,0.68,nan,219.0
81,3424.5,12.7,163.13,236.5,104.28,47.8,nan,106.4,48.02,330.5,74.59,44.2,50.2,103.9,0.65,nan,177.0
66,3572.0,12.7,222.92,301.6,101.7,37.0,nan,104.5,48.2,472.62,102.3,30.0,51.3,98.0,0.662,nan,217.0
102,3653.0,9.53,272.69,388.7,89.65,48.0,21.0,105.32,22.03,375.37,138.98,63.6,56.7,99.7,0.654,4.71,295.5
71,3667.0,9.53,250.0,350.2,103.19,61.0,nan,105.2,39.06,326.22,73.89,57.2,50.86,100.1,0.66,nan,178.0
47,3653.0,14.29,165.85,270.5,79.95,52.0,34.0,105.12,33.83,488.09,143.15,63.6,56.7,98.9,0.654,5.78,233.96
104,3526.4955882352942,14.29,221.8,333.79205882352943,107.56,69.0,nan,104.97132352941176,52.22,601.5,167.1,63.6,51.15540983606558,90.8,0.6847,7.28,219.04
101,3572.0,9.53,237.1,330.0,105.9,31.0,nan,104.7,38.5,304.63,76.6,30.0,51.3,94.8,0.662,nan,251.0
